
> my-project@0.1.0 dev
> next dev -p 3000

▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.119.76.145:3000
✓ Ready in 727ms
⚠ Warning: Next.js ignored package-lock.json in /home/raftlee/Documentos/Workspace because it is outside the current Git repository (/home/raftlee/Documentos/Workspace/prototipo-vigia).
 To use this directory, set `turbopack.root` in your Next.js config.

✓ Running next.config.mjs took 29ms

 GET /alertas 200 in 2.0s (next.js: 1443ms, proxy.ts: 258ms, application-code: 298ms)
 POST /api/v1/ia/chat 200 in 2.6s (next.js: 22ms, proxy.ts: 6ms, application-code: 2.6s)
 GET /monitor 200 in 146ms (next.js: 119ms, proxy.ts: 3ms, application-code: 23ms)
 GET /api/auth/me 200 in 104ms (next.js: 38ms, proxy.ts: 10ms, application-code: 57ms)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 222ms (next.js: 88ms, proxy.ts: 48ms, application-code: 86ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 228ms (next.js: 113ms, proxy.ts: 47ms, application-code: 68ms)
 GET /api/v1/alertas?limit=10 200 in 247ms (next.js: 93ms, proxy.ts: 43ms, application-code: 111ms)
 GET /api/v1/alertas?limit=10 200 in 260ms (next.js: 89ms, proxy.ts: 42ms, application-code: 129ms)
 GET /api/v1/eventos?limit=10 200 in 265ms (next.js: 102ms, proxy.ts: 44ms, application-code: 119ms)
 GET /api/v1/eventos?limit=10 200 in 228ms (next.js: 111ms, proxy.ts: 77ms, application-code: 40ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 101ms (next.js: 48ms, proxy.ts: 30ms, application-code: 22ms)
 GET /api/v1/eventos?limit=10 200 in 94ms (next.js: 33ms, proxy.ts: 14ms, application-code: 46ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 99ms (next.js: 39ms, proxy.ts: 13ms, application-code: 47ms)
 GET /api/v1/eventos?limit=10 200 in 75ms (next.js: 30ms, proxy.ts: 12ms, application-code: 32ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 80ms (next.js: 36ms, proxy.ts: 14ms, application-code: 31ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 26ms, proxy.ts: 5ms, application-code: 10.1s)
 GET /api/v1/eventos?limit=10 200 in 56ms (next.js: 26ms, proxy.ts: 7ms, application-code: 23ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 31ms, proxy.ts: 10ms, application-code: 29ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 66ms (next.js: 32ms, proxy.ts: 7ms, application-code: 27ms)
 GET /api/v1/eventos?limit=10 200 in 78ms (next.js: 32ms, proxy.ts: 9ms, application-code: 37ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 76ms (next.js: 33ms, proxy.ts: 12ms, application-code: 30ms)
 GET /api/v1/eventos?limit=10 200 in 82ms (next.js: 24ms, proxy.ts: 12ms, application-code: 47ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 11ms, proxy.ts: 7ms, application-code: 10.1s)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 95ms (next.js: 44ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/v1/eventos?limit=10 200 in 102ms (next.js: 53ms, proxy.ts: 15ms, application-code: 34ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 106ms (next.js: 54ms, proxy.ts: 14ms, application-code: 38ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 75ms (next.js: 34ms, proxy.ts: 11ms, application-code: 30ms)
 GET /api/v1/eventos?limit=10 200 in 85ms (next.js: 29ms, proxy.ts: 8ms, application-code: 48ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 20ms, proxy.ts: 8ms, application-code: 10.0s)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 34ms, proxy.ts: 6ms, application-code: 29ms)
 GET /api/v1/eventos?limit=10 200 in 79ms (next.js: 31ms, proxy.ts: 10ms, application-code: 38ms)
 GET /api/v1/eventos?limit=10 200 in 73ms (next.js: 26ms, proxy.ts: 10ms, application-code: 36ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 79ms (next.js: 36ms, proxy.ts: 11ms, application-code: 32ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 23ms, proxy.ts: 9ms, application-code: 10.1s)
 GET /api/v1/eventos?limit=10 200 in 115ms (next.js: 19ms, proxy.ts: 11ms, application-code: 84ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 116ms (next.js: 20ms, proxy.ts: 13ms, application-code: 82ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 72ms (next.js: 35ms, proxy.ts: 5ms, application-code: 33ms)
 GET /api/v1/eventos?limit=10 200 in 82ms (next.js: 31ms, proxy.ts: 5ms, application-code: 46ms)
 POST /api/v1/ia/analizar 502 in 10.1s (next.js: 26ms, proxy.ts: 4ms, application-code: 10.1s)
 GET /api/v1/alertas?estado=pendiente&limit=50 200 in 88ms (next.js: 37ms, proxy.ts: 3ms, application-code: 48ms)
 GET /api/v1/eventos?limit=10 200 in 97ms (next.js: 57ms, proxy.ts: 13ms, application-code: 28ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 100ms (next.js: 18ms, proxy.ts: 37ms, application-code: 45ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 69ms (next.js: 30ms, proxy.ts: 11ms, application-code: 28ms)
 GET /api/v1/eventos?limit=10 200 in 82ms (next.js: 25ms, proxy.ts: 10ms, application-code: 47ms)
 GET /api/v1/alertas?estado=pendiente&limit=10 200 in 80ms (next.js: 31ms, proxy.ts: 14ms, application-code: 35ms)
